productname,date,farmprice,retailpricepettah,retailpricedambulla,averagespread
Beans,7/1/2013,120.04,161.79,159.27,40.49
Carrot,7/1/2013,165.16,207.35,220.27,48.65
Cabbage,7/1/2013,92.53,120.71,122.7,29.17
Tomato,7/1/2013,118.45,157.23,154.34,37.33
Brinjal,7/1/2013,98.66,126.95,140.09,34.86
Pumpkin,7/1/2013,62.56,80.75,83.07,19.35
Snake Gourd,7/1/2013,85.38,106.94,109.97,23.08
Green Chilli,7/1/2013,181.28,239.83,233.69,55.48
Lime,7/1/2013,170.92,229.07,242.05,64.64
Beans,8/1/2013,131.06,172.69,186.34,48.46
Carrot,8/1/2013,160.06,205.4,224.72,55
Cabbage,8/1/2013,89.44,109.44,117.53,24.04
Tomato,8/1/2013,130.08,174.47,170.56,42.43
Brinjal,8/1/2013,73.1,95.28,93.97,21.53
Pumpkin,8/1/2013,71.94,91.42,93.56,20.55
Snake Gourd,8/1/2013,67.51,88.04,95.48,24.25
Green Chilli,8/1/2013,168.64,207.92,212.91,41.78
Lime,8/1/2013,167.43,228.74,229.61,61.74
Beans,9/1/2013,106.43,133.26,150.1,35.25
Carrot,9/1/2013,127.98,175.57,176.7,48.15
Cabbage,9/1/2013,104.37,128.52,132.84,26.31
Tomato,9/1/2013,137.09,172.08,173.56,35.73
Brinjal,9/1/2013,74.09,95.21,95.07,21.05
Pumpkin,9/1/2013,62.44,75.1,85.48,17.85
Snake Gourd,9/1/2013,86.07,115.99,118.91,31.38
Green Chilli,9/1/2013,181.87,239.79,228.29,52.17
Lime,9/1/2013,201.59,243.13,259.55,49.75
Beans,10/1/2013,114.46,154.88,144.97,35.47
Carrot,10/1/2013,121.13,161.32,165.3,42.18
Cabbage,10/1/2013,90.37,116.92,120.81,28.49
Tomato,10/1/2013,132.78,161.39,183.97,39.9
Brinjal,10/1/2013,108.9,132.14,140.55,27.44
Pumpkin,10/1/2013,64.28,82.95,87.49,20.94
Snake Gourd,10/1/2013,85.22,112.86,115.4,28.91
Green Chilli,10/1/2013,180.69,230.13,254.68,61.72
Lime,10/1/2013,144.91,201.3,205.8,58.64
Beans,11/1/2013,98.9,126.55,141.58,35.16
Carrot,11/1/2013,113.44,145.82,150.34,34.64
Cabbage,11/1/2013,93.11,116.49,131.56,30.92
Tomato,11/1/2013,100.84,135.54,138.71,36.28
Brinjal,11/1/2013,91.89,124.66,119.03,29.96
Pumpkin,11/1/2013,61.95,81.79,87,22.44
Snake Gourd,11/1/2013,67.53,90.62,88.86,22.21
Green Chilli,11/1/2013,156.84,202.93,206.38,47.82
Lime,11/1/2013,199.37,255.01,287.74,72
Beans,12/1/2013,122.64,161.27,157.51,36.75
Carrot,12/1/2013,134.65,178.14,178.01,43.42
Cabbage,12/1/2013,109.98,142.86,141.65,32.28
Tomato,12/1/2013,114.77,138.61,159.93,34.5
Brinjal,12/1/2013,103.95,142.6,133.76,34.23
Pumpkin,12/1/2013,77.82,107.29,107.47,29.56
Snake Gourd,12/1/2013,70.87,91.28,95.15,22.34
Green Chilli,12/1/2013,132.37,173.32,189.51,49.04
Lime,12/1/2013,220.9,288.74,290.02,68.48
Beans,1/1/2014,112.36,155.45,152.08,41.4
Carrot,1/1/2014,139.68,183.74,195.04,49.71
Cabbage,1/1/2014,103.01,142.45,146.37,41.4
Tomato,1/1/2014,134.69,172.75,170.08,36.73
Brinjal,1/1/2014,79.89,104.1,114.75,29.53
Pumpkin,1/1/2014,74.23,102.03,107.08,30.32
Snake Gourd,1/1/2014,85.3,107.17,117.86,27.22
Green Chilli,1/1/2014,177.14,238.05,227.38,55.58
Lime,1/1/2014,186.95,245.35,248.62,60.04
Beans,2/1/2014,142.26,191.49,185.54,46.26
Carrot,2/1/2014,169.47,225.05,237.7,61.9
Cabbage,2/1/2014,130.63,178.28,167.86,42.44
Tomato,2/1/2014,171.27,228.75,220.11,53.16
Brinjal,2/1/2014,96.27,119.17,122.45,24.54
Pumpkin,2/1/2014,82.1,105.93,107.75,24.74
Snake Gourd,2/1/2014,92.49,118.63,123.53,28.59
Green Chilli,2/1/2014,200.42,250.92,278.53,64.3
Lime,2/1/2014,167.09,211.14,241.83,59.4
Beans,3/1/2014,132.53,177.24,169.17,40.67
Carrot,3/1/2014,188.6,259.58,263.4,72.89
Cabbage,3/1/2014,110.14,148.24,147.76,37.86
Tomato,3/1/2014,133.84,169.12,170.34,35.89
Brinjal,3/1/2014,84.92,106.23,114.47,25.43
Pumpkin,3/1/2014,72.18,90.99,95.91,21.27
Snake Gourd,3/1/2014,79.43,104.23,114.25,29.81
Green Chilli,3/1/2014,155.1,210.7,197.01,48.76
Lime,3/1/2014,210.16,255.02,266.08,50.39
Beans,4/1/2014,114.09,139.23,149.75,30.4
Carrot,4/1/2014,194.03,255.26,256.87,62.04
Cabbage,4/1/2014,125.43,158.32,172.59,40.02
Tomato,4/1/2014,135.9,180.09,182,45.14
Brinjal,4/1/2014,94.56,115.7,135.47,31.02
Pumpkin,4/1/2014,79.54,111.02,112.51,32.22
Snake Gourd,4/1/2014,73.26,91.19,94.95,19.81
Green Chilli,4/1/2014,190.1,257.76,260.53,69.04
Lime,4/1/2014,181.09,246.83,257.03,70.84
Beans,5/1/2014,121.61,158.5,174.73,45
Carrot,5/1/2014,147.49,199.83,213.72,59.28
Cabbage,5/1/2014,99.16,120.23,124.63,23.27
Tomato,5/1/2014,115.72,159.39,165.16,46.55
Brinjal,5/1/2014,107.19,144.07,138.38,34.03
Pumpkin,5/1/2014,65.75,82.96,90.48,20.97
Snake Gourd,5/1/2014,74.32,95.18,100.59,23.57
Green Chilli,5/1/2014,190.26,233.35,271.73,62.28
Lime,5/1/2014,254.74,337.14,330.24,78.95
Beans,6/1/2014,110.3,154.01,156.4,44.9
Carrot,6/1/2014,162.9,211.86,206.76,46.41
Cabbage,6/1/2014,104.47,128.65,139.95,29.83
Tomato,6/1/2014,147.37,179.87,195.21,40.17
Brinjal,6/1/2014,96.76,119.81,124.99,25.64
Pumpkin,6/1/2014,90.55,109.21,124.03,26.07
Snake Gourd,6/1/2014,78.14,100.16,101.73,22.8
Green Chilli,6/1/2014,161.35,218.79,202.59,49.34
Lime,6/1/2014,163.61,198.86,225.54,48.59
Beans,7/1/2014,108.33,150.31,153.37,43.51
Carrot,7/1/2014,141.6,192.26,186.43,47.74
Cabbage,7/1/2014,97.05,118.24,123.63,23.88
Tomato,7/1/2014,138.62,183.36,190.62,48.37
Brinjal,7/1/2014,114.44,139.37,155.11,32.8
Pumpkin,7/1/2014,68.64,84.08,97.67,22.24
Snake Gourd,7/1/2014,77.96,106.25,106.29,28.31
Green Chilli,7/1/2014,200.07,240.61,257.62,49.05
Lime,7/1/2014,184.07,229.63,232.95,47.22
Beans,8/1/2014,128.93,167.65,185.09,47.44
Carrot,8/1/2014,152.9,206.5,205.22,52.96
Cabbage,8/1/2014,103.01,127.93,144.2,33.05
Tomato,8/1/2014,178.26,233.53,227.17,52.09
Brinjal,8/1/2014,118.6,149.29,160.69,36.39
Pumpkin,8/1/2014,69.99,85.33,94.78,20.07
Snake Gourd,8/1/2014,83.5,108.08,118.91,29.99
Green Chilli,8/1/2014,199.36,264.81,254.39,60.24
Lime,8/1/2014,177.59,223.44,237.54,52.9
Beans,9/1/2014,94.54,129.97,125.86,33.37
Carrot,9/1/2014,129.21,180.02,185.85,53.72
Cabbage,9/1/2014,120.81,168.94,159.25,43.28
Tomato,9/1/2014,129.42,164.17,177.95,41.64
Brinjal,9/1/2014,83.88,113.51,108.62,27.19
Pumpkin,9/1/2014,60.56,84.7,77.15,20.37
Snake Gourd,9/1/2014,91.48,125.71,121.67,32.21
Green Chilli,9/1/2014,151.08,206.94,199,51.89
Lime,9/1/2014,203.31,268.97,289.41,75.88
Beans,10/1/2014,112.86,150.4,154.76,39.72
Carrot,10/1/2014,111.8,140.19,149.14,32.86
Cabbage,10/1/2014,99.77,129.74,133.35,31.78
Tomato,10/1/2014,159.93,211.94,219.23,55.65
Brinjal,10/1/2014,96.48,133.32,128.56,34.46
Pumpkin,10/1/2014,58.58,75.31,80.59,19.37
Snake Gourd,10/1/2014,81.39,103.39,106.43,23.52
Green Chilli,10/1/2014,138.2,176.29,181.94,40.92
Lime,10/1/2014,183.04,238.58,239.77,56.14
Beans,11/1/2014,121.36,147.65,158.86,31.9
Carrot,11/1/2014,149.46,185.18,201.24,43.75
Cabbage,11/1/2014,95,121.62,126.32,28.97
Tomato,11/1/2014,122.45,150.57,166.38,36.02
Brinjal,11/1/2014,110.16,138.71,147.82,33.11
Pumpkin,11/1/2014,64.31,77.63,81.1,15.05
Snake Gourd,11/1/2014,81.23,104.94,110,26.24
Green Chilli,11/1/2014,176.95,214.87,224.26,42.62
Lime,11/1/2014,231.77,323.39,304.06,81.95
Beans,12/1/2014,123.07,148.91,169.16,35.97
Carrot,12/1/2014,126.88,161.72,159.45,33.7
Cabbage,12/1/2014,109.32,150.12,150.43,40.96
Tomato,12/1/2014,138.54,166.37,198.42,43.86
Brinjal,12/1/2014,102.92,137.6,139.3,35.53
Pumpkin,12/1/2014,63.91,83.85,88.74,22.38
Snake Gourd,12/1/2014,84.06,116.66,112.53,30.53
Green Chilli,12/1/2014,140.65,169.54,190.24,39.24
Lime,12/1/2014,205.17,281.2,275.48,73.17
Beans,1/1/2015,123.33,148.03,165.8,33.59
Carrot,1/1/2015,160.73,220.55,201.53,50.31
Cabbage,1/1/2015,89.98,115.73,124.75,30.26
Tomato,1/1/2015,152.29,203.03,211.04,54.74
Brinjal,1/1/2015,111.96,146.09,140.64,31.4
Pumpkin,1/1/2015,63.5,78.35,81.36,16.35
Snake Gourd,1/1/2015,110.96,140.74,148.03,33.43
Green Chilli,1/1/2015,169.66,216.87,236.32,56.94
Lime,1/1/2015,234.62,296.11,339.44,83.16
Beans,2/1/2015,149.93,180.71,211.25,46.05
Carrot,2/1/2015,136.62,179.52,174.36,40.32
Cabbage,2/1/2015,102.56,142.68,132.12,34.84
Tomato,2/1/2015,139.63,174.83,191.36,43.47
Brinjal,2/1/2015,99.44,125.06,140.92,33.55
Pumpkin,2/1/2015,89.9,119.05,120.91,30.08
Snake Gourd,2/1/2015,108.08,150.79,137.01,35.82
Green Chilli,2/1/2015,205.36,260.49,280.46,65.11
Lime,2/1/2015,183.6,224.4,253.14,55.17
Beans,3/1/2015,150.17,197.48,189.03,43.09
Carrot,3/1/2015,148.92,207.27,194.22,51.83
Cabbage,3/1/2015,123.97,154.96,159.56,33.29
Tomato,3/1/2015,169.51,205.15,228.78,47.46
Brinjal,3/1/2015,122.49,154.29,164.5,36.9
Pumpkin,3/1/2015,75.6,99.78,97.23,22.91
Snake Gourd,3/1/2015,90.42,113.01,118.31,25.24
Green Chilli,3/1/2015,188.09,236.48,258.47,59.39
Lime,3/1/2015,159.66,217.47,206.64,52.4
Beans,4/1/2015,160.22,220.89,204.36,52.4
Carrot,4/1/2015,128.91,155.37,182.36,39.96
Cabbage,4/1/2015,101.05,133.78,133.77,32.73
Tomato,4/1/2015,162.16,214.48,218.09,54.12
Brinjal,4/1/2015,87.11,110.32,117.28,26.69
Pumpkin,4/1/2015,92.44,123.88,123.16,31.08
Snake Gourd,4/1/2015,73.44,101.51,105.04,29.84
Green Chilli,4/1/2015,238.62,321.84,336.08,90.34
Lime,4/1/2015,217.93,281.02,288.05,66.6
Beans,5/1/2015,113.06,141.1,143.1,29.04
Carrot,5/1/2015,155.98,196.83,195.55,40.21
Cabbage,5/1/2015,100.61,138.12,139.71,38.31
Tomato,5/1/2015,132.58,181.43,189.57,52.92
Brinjal,5/1/2015,112.32,155.24,142.78,36.69
Pumpkin,5/1/2015,101.74,135.55,145.85,38.96
Snake Gourd,5/1/2015,113.41,152.14,153.81,39.56
Green Chilli,5/1/2015,201.25,249.94,286.65,67.04
Lime,5/1/2015,279.42,346.64,365.39,76.59
Beans,6/1/2015,108.38,136.05,142.97,31.13
Carrot,6/1/2015,159.67,203.04,204.19,43.95
Cabbage,6/1/2015,115.16,141.25,152.33,31.63
Tomato,6/1/2015,145.92,185,201.35,47.26
Brinjal,6/1/2015,84.71,117.67,116.33,32.29
Pumpkin,6/1/2015,64.1,83.14,90.02,22.48
Snake Gourd,6/1/2015,70.79,91.47,99.06,24.47
Green Chilli,6/1/2015,242.76,321.28,342.63,89.2
Lime,6/1/2015,223.98,285.22,306.87,72.07
Beans,7/1/2015,103.3,134.01,144.91,36.16
Carrot,7/1/2015,166.82,231.4,233.86,65.81
Cabbage,7/1/2015,112.99,140.21,157.16,35.7
Tomato,7/1/2015,115.71,149.51,144.97,31.53
Brinjal,7/1/2015,117.65,142.95,163.64,35.64
Pumpkin,7/1/2015,82.34,100.97,110.85,23.57
Snake Gourd,7/1/2015,99.41,127.69,126.34,27.61
Green Chilli,7/1/2015,191.48,259.68,251.49,64.11
Lime,7/1/2015,152.16,193.18,216.77,52.82
Beans,8/1/2015,141.17,170.99,177.21,32.93
Carrot,8/1/2015,189.81,228.82,240.09,44.64
Cabbage,8/1/2015,110.02,147.53,144.06,35.78
Tomato,8/1/2015,164.98,222.71,219.49,56.12
Brinjal,8/1/2015,95.92,118.13,120.99,23.64
Pumpkin,8/1/2015,74.39,97.83,97.49,23.27
Snake Gourd,8/1/2015,102.88,124.01,145.8,32.03
Green Chilli,8/1/2015,193.64,259.33,248.79,60.42
Lime,8/1/2015,243.93,297.87,308.08,59.04
Beans,9/1/2015,140.68,171.6,180.65,35.44
Carrot,9/1/2015,187.85,230.56,236.9,45.88
Cabbage,9/1/2015,92.73,123.63,127.47,32.82
Tomato,9/1/2015,128.12,167.68,173.27,42.36
Brinjal,9/1/2015,87.49,116.9,118.55,30.24
Pumpkin,9/1/2015,72.36,88.08,93.95,18.66
Snake Gourd,9/1/2015,86.21,107.57,117.09,26.12
Green Chilli,9/1/2015,167.5,212.97,220.44,49.2
Lime,9/1/2015,177.03,223.85,221.44,45.61
Beans,10/1/2015,113.2,151.85,163.4,44.42
Carrot,10/1/2015,156.72,204.9,218.92,55.19
Cabbage,10/1/2015,130.54,180,168.93,43.93
Tomato,10/1/2015,175.89,214.48,254.71,58.71
Brinjal,10/1/2015,101.29,125.88,133,28.15
Pumpkin,10/1/2015,63.13,81.81,86.48,21.02
Snake Gourd,10/1/2015,79.29,97.12,111.7,25.12
Green Chilli,10/1/2015,161.34,210.65,203.57,45.77
Lime,10/1/2015,165.78,215.33,237.52,60.65
Beans,11/1/2015,103.15,129.23,129.04,25.98
Carrot,11/1/2015,170.47,210.84,214.47,42.18
Cabbage,11/1/2015,149.21,194.72,197.36,46.83
Tomato,11/1/2015,109.8,146.56,156.04,41.5
Brinjal,11/1/2015,108.58,145.7,156.95,42.74
Pumpkin,11/1/2015,80.31,109.77,103.39,26.27
Snake Gourd,11/1/2015,90.25,124.53,128.65,36.34
Green Chilli,11/1/2015,178.78,229.1,241.59,56.56
Lime,11/1/2015,225.12,270.68,300.83,60.63
Beans,12/1/2015,127.92,174.15,161.23,39.77
Carrot,12/1/2015,168.44,212.8,231.15,53.54
Cabbage,12/1/2015,96.69,123.16,123.32,26.55
Tomato,12/1/2015,105.46,138.16,147.35,37.3
Brinjal,12/1/2015,86.76,119.72,123.69,34.94
Pumpkin,12/1/2015,69.38,94.89,88.72,22.43
Snake Gourd,12/1/2015,93.48,130.72,131.72,37.74
Green Chilli,12/1/2015,185.59,227.69,247.03,51.77
Lime,12/1/2015,202.9,267.09,277.7,69.49
Beans,1/1/2016,126.12,154.34,171.84,36.97
Carrot,1/1/2016,157.29,202.3,218.3,53.01
Cabbage,1/1/2016,114.4,148.25,143.54,31.49
Tomato,1/1/2016,179.77,235.28,237.06,56.4
Brinjal,1/1/2016,119.81,161.03,157.79,39.6
Pumpkin,1/1/2016,84.6,114.04,121.83,33.34
Snake Gourd,1/1/2016,125.74,166.48,165.11,40.06
Green Chilli,1/1/2016,215.91,291.22,271.52,65.46
Lime,1/1/2016,189.26,249.69,240.95,56.06
Beans,2/1/2016,168.45,210.43,230.18,51.86
Carrot,2/1/2016,152.57,197.66,219.54,56.03
Cabbage,2/1/2016,119.09,146.3,159.89,34
Tomato,2/1/2016,146.6,182.25,185.69,37.37
Brinjal,2/1/2016,110.22,135.27,157.19,36.01
Pumpkin,2/1/2016,62.74,77.43,85.96,18.95
Snake Gourd,2/1/2016,133.45,164.84,191.95,44.95
Green Chilli,2/1/2016,181.77,226.4,247.13,54.99
Lime,2/1/2016,197.78,265.39,252.31,61.07
Beans,3/1/2016,143.84,173,192.89,39.1
Carrot,3/1/2016,168.38,229.49,210.63,51.68
Cabbage,3/1/2016,102.54,136.46,130.3,30.84
Tomato,3/1/2016,177.35,239.62,225.58,55.25
Brinjal,3/1/2016,121.56,161.42,170.03,44.16
Pumpkin,3/1/2016,112.05,143.35,157.97,38.61
Snake Gourd,3/1/2016,90.31,110.28,127.83,28.74
Green Chilli,3/1/2016,193.57,257.53,254.99,62.69
Lime,3/1/2016,231.62,286.6,332.01,77.68
Beans,4/1/2016,168.31,202.06,216.32,40.88
Carrot,4/1/2016,185.36,235.39,234.02,49.34
Cabbage,4/1/2016,149.04,196.68,188,43.3
Tomato,4/1/2016,164.7,213.97,232.62,58.6
Brinjal,4/1/2016,103.4,134.3,148.46,37.98
Pumpkin,4/1/2016,92.89,115.81,131.99,31.01
Snake Gourd,4/1/2016,113.28,146.33,156.71,38.24
Green Chilli,4/1/2016,155.08,194.07,204.9,44.4
Lime,4/1/2016,170.43,207.31,240.66,53.55
Beans,5/1/2016,125.35,153.67,176.95,39.96
Carrot,5/1/2016,184.06,238.71,247.79,59.19
Cabbage,5/1/2016,120.41,166.04,161.27,43.24
Tomato,5/1/2016,143.09,197.44,191.31,51.28
Brinjal,5/1/2016,141.42,175.38,193.93,43.24
Pumpkin,5/1/2016,111.62,152.72,148.13,38.8
Snake Gourd,5/1/2016,86.52,117.86,122.44,33.63
Green Chilli,5/1/2016,172.08,209.88,223.93,44.82
Lime,5/1/2016,215.96,285.05,304.58,78.85
Beans,6/1/2016,143.32,183.25,197.98,47.3
Carrot,6/1/2016,205.75,272.92,259.43,60.43
Cabbage,6/1/2016,166.63,227.81,222.06,58.31
Tomato,6/1/2016,124.58,153.48,166.18,35.25
Brinjal,6/1/2016,134.65,186.26,193.12,55.04
Pumpkin,6/1/2016,72.78,90.78,92.53,18.88
Snake Gourd,6/1/2016,123.22,168.74,176.52,49.41
Green Chilli,6/1/2016,153.18,205.99,209.62,54.62
Lime,6/1/2016,234.74,322.02,323,87.77
Beans,7/1/2016,121.73,169.35,157.78,41.83
Carrot,7/1/2016,186.8,227.44,268.58,61.21
Cabbage,7/1/2016,102.51,129.29,141.52,32.89
Tomato,7/1/2016,151.44,201.29,206.07,52.24
Brinjal,7/1/2016,85.64,114.06,122.13,32.46
Pumpkin,7/1/2016,61.68,83.05,78.53,19.11
Snake Gourd,7/1/2016,85.46,104.32,110.91,22.16
Green Chilli,7/1/2016,204.77,278.14,295.97,82.28
Lime,7/1/2016,226.18,308.53,301.95,79.06
Beans,8/1/2016,141.65,189.01,199.69,52.7
Carrot,8/1/2016,192.59,236.72,268.4,59.97
Cabbage,8/1/2016,144.55,174.68,190.69,38.13
Tomato,8/1/2016,172.43,240.82,217.42,56.69
Brinjal,8/1/2016,101.62,124.44,135.37,28.28
Pumpkin,8/1/2016,73.16,99.59,95.05,24.16
Snake Gourd,8/1/2016,85.78,111.27,111.88,25.79
Green Chilli,8/1/2016,243.76,294.38,330.2,68.53
Lime,8/1/2016,268.8,340.04,337.04,69.74
Beans,9/1/2016,126.53,160.8,165.53,36.64
Carrot,9/1/2016,155.87,206.78,210.14,52.59
Cabbage,9/1/2016,107.3,133.36,142.48,30.62
Tomato,9/1/2016,127.6,163.03,184.91,46.37
Brinjal,9/1/2016,93.14,122.92,131.25,33.94
Pumpkin,9/1/2016,74.48,97,98.87,23.46
Snake Gourd,9/1/2016,87.84,120.71,114.5,29.76
Green Chilli,9/1/2016,202.07,278.15,264.22,69.12
Lime,9/1/2016,212.94,262.3,272.21,54.32
Beans,10/1/2016,128.38,175.79,164.13,41.58
Carrot,10/1/2016,146.28,190.44,202.13,50
Cabbage,10/1/2016,98.55,129.47,124.4,28.39
Tomato,10/1/2016,166.26,200.43,237.53,52.72
Brinjal,10/1/2016,107.2,138.48,148.78,36.43
Pumpkin,10/1/2016,86.98,110.2,111.95,24.1
Snake Gourd,10/1/2016,76.86,102.82,104.79,26.94
Green Chilli,10/1/2016,179.19,231.16,244.5,58.64
Lime,10/1/2016,202.66,280.39,288.7,81.88
Beans,11/1/2016,125.59,175.49,165.58,44.95
Carrot,11/1/2016,177.59,230.83,242.83,59.24
Cabbage,11/1/2016,95.85,120.07,127.86,28.12
Tomato,11/1/2016,115.94,152.52,151.38,36.01
Brinjal,11/1/2016,126.99,169.8,181.75,48.79
Pumpkin,11/1/2016,80.26,111.4,115.89,33.38
Snake Gourd,11/1/2016,94.27,117.56,121.73,25.38
Green Chilli,11/1/2016,225.74,277.24,303.5,64.63
Lime,11/1/2016,234.71,283.72,310.22,62.26
Beans,12/1/2016,144.9,201.14,187.76,49.55
Carrot,12/1/2016,139.1,169.73,201.47,46.5
Cabbage,12/1/2016,114.46,147.76,164.18,41.51
Tomato,12/1/2016,170.94,214.86,228.54,50.76
Brinjal,12/1/2016,86.09,110.67,118.53,28.51
Pumpkin,12/1/2016,68.78,88.53,96.24,23.6
Snake Gourd,12/1/2016,106.94,129.7,150.05,32.94
Green Chilli,12/1/2016,239.29,290.3,332.15,71.94
Lime,12/1/2016,226.55,300.85,286.26,67
Beans,1/1/2017,117,145.98,166.46,39.22
Carrot,1/1/2017,148.6,186.17,198.17,43.57
Cabbage,1/1/2017,100.05,138.41,130.22,34.26
Tomato,1/1/2017,158.36,220.76,225.42,64.73
Brinjal,1/1/2017,101.28,127.63,131.31,28.19
Pumpkin,1/1/2017,121.26,158.55,161.64,38.83
Snake Gourd,1/1/2017,132.17,179.7,166.23,40.8
Green Chilli,1/1/2017,247.4,309.76,343.52,79.24
Lime,1/1/2017,254.7,311.5,367.09,84.6
Beans,2/1/2017,183.55,243.75,264.4,70.52
Carrot,2/1/2017,149.47,200.27,209.67,55.5
Cabbage,2/1/2017,109.72,138.6,143.32,31.24
Tomato,2/1/2017,149.6,206.1,200.37,53.64
Brinjal,2/1/2017,127.12,153.62,174.03,36.7
Pumpkin,2/1/2017,82.81,102.34,105.67,21.2
Snake Gourd,2/1/2017,120.45,149.74,169.46,39.15
Green Chilli,2/1/2017,189.83,240.99,258.05,59.69
Lime,2/1/2017,210.61,286.09,302.26,83.56
Beans,3/1/2017,148.45,194.14,192.87,45.06
Carrot,3/1/2017,206.49,255.75,274.01,58.39
Cabbage,3/1/2017,159.1,192.3,199.68,36.89
Tomato,3/1/2017,141.62,176.43,181.13,37.16
Brinjal,3/1/2017,107.05,149.04,152.3,43.62
Pumpkin,3/1/2017,81.02,99.23,115.62,26.41
Snake Gourd,3/1/2017,97.24,122.16,127.74,27.71
Green Chilli,3/1/2017,210.73,256.62,304.54,69.85
Lime,3/1/2017,287.54,357.8,403.01,92.86
Beans,4/1/2017,119.54,145.79,167.04,36.87
Carrot,4/1/2017,149.24,202.34,215.23,59.54
Cabbage,4/1/2017,145.1,177.07,195.41,41.14
Tomato,4/1/2017,166.89,204.47,221.07,45.88
Brinjal,4/1/2017,122.54,162,165.97,41.44
Pumpkin,4/1/2017,76.7,105.28,101.97,26.92
Snake Gourd,4/1/2017,118.19,161.23,149.32,37.08
Green Chilli,4/1/2017,253.55,326.71,354.97,87.29
Lime,4/1/2017,204,258.52,291.19,70.85
Beans,5/1/2017,186.47,226.66,244.21,48.96
Carrot,5/1/2017,199.72,279.24,283.95,81.88
Cabbage,5/1/2017,102.82,125.15,133.44,26.48
Tomato,5/1/2017,214.65,288.42,298.61,78.87
Brinjal,5/1/2017,124.42,150.33,175.61,38.55
Pumpkin,5/1/2017,71.24,90.59,89.07,18.59
Snake Gourd,5/1/2017,101.4,130.37,136.71,32.14
Green Chilli,5/1/2017,219,303.9,283.29,74.6
Lime,5/1/2017,282.9,340.6,355.07,64.94
Beans,6/1/2017,164.08,219.5,229.87,60.6
Carrot,6/1/2017,172.84,230.46,250.14,67.46
Cabbage,6/1/2017,151.6,197.34,193.63,43.89
Tomato,6/1/2017,177.16,220.01,246.73,56.21
Brinjal,6/1/2017,85.37,105.31,110.59,22.58
Pumpkin,6/1/2017,80.72,112.65,102.4,26.81
Snake Gourd,6/1/2017,103.19,143.6,131.44,34.33
Green Chilli,6/1/2017,201.66,257.02,279.96,66.83
Lime,6/1/2017,228.66,277.7,289.02,54.7
Beans,7/1/2017,163.44,205.19,216.63,47.47
Carrot,7/1/2017,221.77,300.63,287.66,72.38
Cabbage,7/1/2017,135.69,172.21,189.58,45.21
Tomato,7/1/2017,139.17,177.22,188.59,43.74
Brinjal,7/1/2017,93.8,130.55,134.44,38.7
Pumpkin,7/1/2017,100.88,130.36,133.87,31.24
Snake Gourd,7/1/2017,114.98,147.93,163.44,40.7
Green Chilli,7/1/2017,217.47,273.55,273.18,55.9
Lime,7/1/2017,274.69,331.48,354.22,68.16
Beans,8/1/2017,146.3,199.87,188.97,48.12
Carrot,8/1/2017,138.71,176.4,196.77,47.88
Cabbage,8/1/2017,154.54,195.74,202.94,44.8
Tomato,8/1/2017,151.25,193.19,195.13,42.91
Brinjal,8/1/2017,96.41,116.07,135.96,29.61
Pumpkin,8/1/2017,77.74,98.49,100.45,21.73
Snake Gourd,8/1/2017,80.45,112.38,107.33,29.4
Green Chilli,8/1/2017,220.61,278.97,290.5,64.12
Lime,8/1/2017,194.63,260.32,262.37,66.72
Beans,9/1/2017,157.81,200.44,205.62,45.22
Carrot,9/1/2017,159.92,209.94,216.41,53.26
Cabbage,9/1/2017,131.48,178.32,177.71,46.54
Tomato,9/1/2017,196.36,235.97,272.98,58.11
Brinjal,9/1/2017,98.21,128.63,127.76,29.99
Pumpkin,9/1/2017,81.81,113.47,103.56,26.7
Snake Gourd,9/1/2017,78.86,106.21,100.47,24.48
Green Chilli,9/1/2017,203.11,263.18,272.81,64.88
Lime,9/1/2017,234.7,290.83,327.73,74.58
Beans,10/1/2017,122.6,167.31,160.1,41.1
Carrot,10/1/2017,200.1,268.96,271.62,70.19
Cabbage,10/1/2017,114.47,138.81,162.63,36.25
Tomato,10/1/2017,128.38,154.79,171.42,34.72
Brinjal,10/1/2017,122.93,169.86,172.61,48.31
Pumpkin,10/1/2017,95.77,123.46,138.12,35.02
Snake Gourd,10/1/2017,88.17,113.75,121.75,29.58
Green Chilli,10/1/2017,200.7,254.36,286.93,69.95
Lime,10/1/2017,251.49,323.17,333.12,76.66
Beans,11/1/2017,152.09,190.38,197.81,42
Carrot,11/1/2017,154.09,189.97,217.71,49.75
Cabbage,11/1/2017,139.32,182.69,199.13,51.59
Tomato,11/1/2017,126.77,170.56,180.23,48.62
Brinjal,11/1/2017,99.02,124.28,129.71,27.98
Pumpkin,11/1/2017,76.17,101.63,100.78,25.03
Snake Gourd,11/1/2017,82.99,113.99,118.51,33.26
Green Chilli,11/1/2017,200.88,246.27,268.11,56.31
Lime,11/1/2017,231.05,299.69,307.94,72.76
Beans,12/1/2017,155.45,196.07,204.79,44.98
Carrot,12/1/2017,160.55,200.09,207.45,43.22
Cabbage,12/1/2017,151.29,190.88,207.75,48.03
Tomato,12/1/2017,183.59,237.58,243.11,56.76
Brinjal,12/1/2017,95.44,133.08,124.23,33.22
Pumpkin,12/1/2017,80.68,102.37,106.99,24
Snake Gourd,12/1/2017,133.82,165.01,193.92,45.64
Green Chilli,12/1/2017,167.18,210.66,214.2,45.25
Lime,12/1/2017,218.93,278.27,301.62,71.01
Beans,1/1/2018,205.01,271.23,270.26,65.74
